,hgnc_symbol,Gene
5950,AKR1C4,ENSG00000198610
5951,PAPSS2,ENSG00000198682
5952,LDB1,ENSG00000198728
5953,LRRTM3,ENSG00000198739
5954,INPP5F,ENSG00000198825
5955,GRK5,ENSG00000198873
5956,SFMBT2,ENSG00000198879
5957,RASGEF1A,ENSG00000198915
5958,DCLRE1A,ENSG00000198924
5959,KIAA1279,ENSG00000198954
5960,SGMS1,ENSG00000198964
5961,hsa-mir-107,ENSG00000198997
5962,hsa-mir-202,ENSG00000199089
5963,hsa-mir-346,ENSG00000199104
5964,Y_RNA,ENSG00000199200
5965,Y_RNA,ENSG00000199201
5966,Y_RNA,ENSG00000199222
5967,SNORD60,ENSG00000199321
5968,5S_rRNA,ENSG00000199364
5969,5S_rRNA,ENSG00000199402
5970,5S_rRNA,ENSG00000199407
5971,U6,ENSG00000199446
5972,Y_RNA,ENSG00000199466
5973,5S_rRNA,ENSG00000199535
5974,5S_rRNA,ENSG00000199592
5975,5S_rRNA,ENSG00000199638
5976,U6,ENSG00000199664
5977,5S_rRNA,ENSG00000199733
5978,U6,ENSG00000199855
5979,Y_RNA,ENSG00000199881
5980,5S_rRNA,ENSG00000200079
5981,U6,ENSG00000200097
5982,Y_RNA,ENSG00000200170
5983,U1,ENSG00000200176
5984,U6,ENSG00000200217
5985,U6,ENSG00000200218
5986,U6,ENSG00000200253
5987,U6,ENSG00000200285
5988,SNORA36,ENSG00000200294
5989,U6,ENSG00000200356
5990,U6,ENSG00000200369
5991,U6,ENSG00000200484
5992,5S_rRNA,ENSG00000200487
5993,U3,ENSG00000200545
5994,5S_rRNA,ENSG00000200626
5995,U6,ENSG00000200728
5996,Y_RNA,ENSG00000200737
5997,U6,ENSG00000200774
5998,U1,ENSG00000200789
5999,Y_RNA,ENSG00000200849
6000,U6,ENSG00000200887
6001,SNORD74,ENSG00000200891
6002,U6,ENSG00000200935
6003,U6,ENSG00000201001
6004,Y_RNA,ENSG00000201047
6005,U6,ENSG00000201080
6006,Y_RNA,ENSG00000201196
6007,U6,ENSG00000201260
6008,7SK,ENSG00000201364
6009,U6,ENSG00000201390
6010,SNORA71,ENSG00000201393
6011,Y_RNA,ENSG00000201412
6012,Y_RNA,ENSG00000201548
6013,7SK,ENSG00000201581
6014,U6,ENSG00000201604
6015,5S_rRNA,ENSG00000201766
6016,5S_rRNA,ENSG00000201861
6017,Y_RNA,ENSG00000201881
6018,Y_RNA,ENSG00000201884
6019,U6,ENSG00000201954
6020,5S_rRNA,ENSG00000202047
6021,Y_RNA,ENSG00000202190
6022,U6,ENSG00000202245
6023,Y_RNA,ENSG00000202297
6024,Y_RNA,ENSG00000202487
6025,Y_RNA,ENSG00000202508
6026,U6,ENSG00000202513
6027,hsa-mir-146b,ENSG00000202569
6028,RP13-439H18.4,ENSG00000203268
6029,RP11-730A19.6,ENSG00000203414
6030,RP11-500G10.5,ENSG00000203417
6031,RP11-163F15.1,ENSG00000203434
6032,AC068896.3,ENSG00000203457
6033,AL359697.1,ENSG00000203471
6034,RP11-291L22.4,ENSG00000203496
6035,RP11-313D6.4,ENSG00000203497
6036,RP13-259N13.2,ENSG00000203565
6037,SPRN,ENSG00000203772
6038,AL589787.1,ENSG00000203779
6039,FANK1,ENSG00000203780
6040,METTL10,ENSG00000203791
6041,FAM24A,ENSG00000203795
6042,RP11-564D11.3,ENSG00000203796
6043,PPAPDC1A,ENSG00000203805
6044,PNLIPRP3,ENSG00000203837
6045,RBM20,ENSG00000203867
6046,RP11-451M19.3,ENSG00000203876
6047,CYP17A1OS,ENSG00000203886
6048,C10orf62,ENSG00000203942
6049,AL356155.1,ENSG00000203973
6050,IFIT1L,ENSG00000204010
6051,LIPN,ENSG00000204020
6052,LIPK,ENSG00000204021
6053,LIPJ,ENSG00000204022
6054,LRIT2,ENSG00000204033
6055,AL359195.1,ENSG00000204038
6056,AL391421.4,ENSG00000204049
6057,RUFY2,ENSG00000204130
6058,ASAH2B,ENSG00000204147
6059,AGAP6,ENSG00000204149
6060,CTGLF11P,ENSG00000204150
6061,TIMM23B,ENSG00000204152
6062,C10orf128,ENSG00000204161
6063,RP11-508M1.3,ENSG00000204164
6064,AGAP7,ENSG00000204169
6065,AGAP10,ENSG00000204172
6066,PPYR1,ENSG00000204174
6067,GPRIN2,ENSG00000204175
6068,SYT15,ENSG00000204176
6069,BMS1P1,ENSG00000204177
6070,PTPN20A,ENSG00000204179
6071,C10orf136,ENSG00000204187
6072,C10orf126,ENSG00000204365
6073,CTSLL6,ENSG00000204437
6074,C10orf115,ENSG00000204566
6075,C10orf114,ENSG00000204682
6076,C10orf113,ENSG00000204683
6077,C10orf112,ENSG00000204740
6078,RP11-414K1.3,ENSG00000204832
6079,RP11-295O23.2,ENSG00000205433
6080,AL732437.1,ENSG00000205488
6081,NCRNA00168,ENSG00000205696
6082,AL359878.2,ENSG00000205740
6083,RP11-455B2.8,ENSG00000206448
6084,U6,ENSG00000206605
6085,U6,ENSG00000206631
6086,Y_RNA,ENSG00000206660
6087,Y_RNA,ENSG00000206756
6088,U6,ENSG00000206796
6089,Y_RNA,ENSG00000206840
6090,U6,ENSG00000206842
6091,U6,ENSG00000206855
6092,U6,ENSG00000207029
6093,U6,ENSG00000207068
6094,U6,ENSG00000207071
6095,U6,ENSG00000207124
6096,U6,ENSG00000207135
6097,U6,ENSG00000207264
6098,Y_RNA,ENSG00000207271
6099,U6,ENSG00000207275
6100,U6,ENSG00000207287
6101,U6,ENSG00000207327
6102,U6,ENSG00000207347
6103,U6,ENSG00000207362
6104,Y_RNA,ENSG00000207438
6105,U6,ENSG00000207447
6106,U6,ENSG00000207453
6107,SNORA19,ENSG00000207468
6108,Y_RNA,ENSG00000207473
6109,U6,ENSG00000207483
6110,Y_RNA,ENSG00000207494
6111,hsa-mir-608,ENSG00000207551
6112,hsa-mir-606,ENSG00000207583
6113,hsa-mir-604,ENSG00000207612
6114,hsa-mir-605,ENSG00000207813
6115,AL161652.2,ENSG00000207895
6116,hsa-mir-603,ENSG00000207930
6117,hsa-mir-511-1,ENSG00000207937
6118,hsa-mir-511-1,ENSG00000207938
6119,hsa-mir-607,ENSG00000207976
6120,hsa-mir-609,ENSG00000208033
6121,AL353147.6,ENSG00000212072
6122,SNORA40,ENSG00000212148
6123,U6,ENSG00000212156
6124,U6,ENSG00000212324
6125,Y_RNA,ENSG00000212325
6126,5S_rRNA,ENSG00000212331
6127,U6,ENSG00000212332
6128,5S_rRNA,ENSG00000212396
6129,SNORD115,ENSG00000212411
6130,U11,ENSG00000212413
6131,SNORA12,ENSG00000212464
6132,5S_rRNA,ENSG00000212499
6133,5S_rRNA,ENSG00000212505
6134,U6,ENSG00000212520
6135,SNORA17,ENSG00000212589
6136,AL137145.2,ENSG00000212743
6137,HMGN2L8,ENSG00000212769
6138,RP11-476E15.3,ENSG00000212950
6139,RP11-119F7.2,ENSG00000213025
6140,RP11-753C18.4,ENSG00000213061
6141,XXyac-YRM2136_A.1,ENSG00000213147
6142,AL590105.1,ENSG00000213154
6143,RP11-81B10.2,ENSG00000213170
6144,FAM24B,ENSG00000213185
6145,RP11-479A21.1,ENSG00000213247
6146,RP11-45P22.1,ENSG00000213260
6147,RP11-332O19.3,ENSG00000213277
6148,CHUK,ENSG00000213341
6149,ARHGAP19,ENSG00000213390
6150,RP11-314P12.3,ENSG00000213412
6151,RP11-624L12.1,ENSG00000213432
6152,RP11-47G11.3,ENSG00000213438
6153,GAPDHP28,ENSG00000213449
6154,EIF4A1P8,ENSG00000213484
6155,RP13-39P12.2,ENSG00000213513
6156,RP11-428P16.2,ENSG00000213514
6157,RP11-383B24.3,ENSG00000213525
6158,XX-2136C111.2,ENSG00000213543
6159,DNAJC9,ENSG00000213551
6160,RP11-498J9.1,ENSG00000213574
6161,RP11-323N10.1,ENSG00000213606
6162,RP11-170M17.2,ENSG00000213609
6163,RP11-380G5.3,ENSG00000213613
6164,RP11-346D6.4,ENSG00000213657
6165,RP11-539E19.1,ENSG00000213659
6166,RP11-564C4.8,ENSG00000213667
6167,RP11-508M1.9,ENSG00000213686
6168,RP11-344N10.3,ENSG00000213700
6169,RP11-51B10.4,ENSG00000213724
6170,RP11-506B4.4,ENSG00000213731
6171,RP11-748L13.3,ENSG00000213770
6172,RP11-543F8.1,ENSG00000213771
6173,RP11-449I17.7,ENSG00000213778
6174,RP11-414H17.5,ENSG00000213994
6175,RP11-414H17.2,ENSG00000214015
6176,RP11-549L6.2,ENSG00000214067
6177,RP11-256K7.1,ENSG00000214089
6178,RP11-108K14.4,ENSG00000214279
6179,NPS,ENSG00000214285
6180,AL158835.1,ENSG00000214294
6181,ALDOAP2,ENSG00000214297
6182,RP11-151A10.2,ENSG00000214298
6183,AL603764.1,ENSG00000214308
6184,RP11-7D5.2,ENSG00000214362
6185,NCRNA00081,ENSG00000214413
6186,RP11-449I17.4,ENSG00000214434
6187,AS3MT,ENSG00000214435
6188,AC026396.1,ENSG00000214531
6189,RP11-360G10.2,ENSG00000214549
6190,FAM22D,ENSG00000214562
6191,RP11-479O17.2,ENSG00000214584
6192,RP11-312P12.2,ENSG00000214626
6193,RP11-506B4.3,ENSG00000214629
6194,KIAA0913,ENSG00000214655
6195,C10orf105,ENSG00000214688
6196,RP11-182L21.4,ENSG00000214695
6197,RP11-464O2.5,ENSG00000214807
6198,RP11-314J18.5,ENSG00000214875
6199,TMEM14D,ENSG00000214881
6200,RP11-481A12.5,ENSG00000214982
6201,FAM25D,ENSG00000214986
6202,RP11-446H13.2,ENSG00000215002
6203,AL591684.2,ENSG00000215020
6204,CTD-2173J9.3,ENSG00000215024
6205,AL603965.1,ENSG00000215033
6206,RP11-292F22.3,ENSG00000215044
6207,RP11-144G6.9,ENSG00000215065
6208,RP11-522H2.3,ENSG00000215086
6209,RP11-342C24.6,ENSG00000215097
6210,RP11-313J2.1,ENSG00000215146
6211,ABCD1P2,ENSG00000215151
6212,AL133216.2,ENSG00000215153
6213,RP11-8L18.2,ENSG00000215184
6214,RP11-308K19.2,ENSG00000215227
6215,AL137145.1,ENSG00000215244
6216,RP11-445P17.4,ENSG00000215267
6217,RP11-748L13.2,ENSG00000215409
6218,RP11-106M7.2,ENSG00000215760
6219,AL731568.1,ENSG00000215921
6220,AL157788.1,ENSG00000215925
6221,AL360176.1,ENSG00000215972
6222,AL359832.1,ENSG00000216004
6223,AC068062.1,ENSG00000216022
6224,hsa-mir-938,ENSG00000216035
6225,hsa-mir-936,ENSG00000216083
6226,EIF5AP1,ENSG00000216238
6227,ANXA2P3,ENSG00000216740
6228,CCDC7,ENSG00000216937
6229,RP11-460H18.1,ENSG00000217094
6230,RP11-589B3.5,ENSG00000219430
6231,RPL12P8,ENSG00000219932
6232,AL512662.2,ENSG00000220191
6233,RP11-236B18.1,ENSG00000220585
6234,RP11-572P18.1,ENSG00000220842
6235,AL161651.3,ENSG00000220997
6236,CPEB3_ribozyme,ENSG00000221042
6237,hsa-mir-1296,ENSG00000221063
6238,AL512598.1,ENSG00000221086
6239,AL671972.1,ENSG00000221094
6240,AL845259.1,ENSG00000221108
6241,AL356741.1,ENSG00000221159
6242,SNORA11,ENSG00000221164
6243,SNORD98,ENSG00000221182
6244,hsa-mir-1254,ENSG00000221184
6245,hsa-mir-548e,ENSG00000221214
6246,AL139815.1,ENSG00000221221
6247,AC012047.1,ENSG00000221232
6248,AC067742.1,ENSG00000221272
6249,AC009987.1,ENSG00000221293
6250,hsa-mir-548q,ENSG00000221331
6251,AL356214.2,ENSG00000221352
6252,AL355512.1,ENSG00000221359
6253,hsa-mir-1265,ENSG00000221371
6254,AL096864.1,ENSG00000221378
6255,U3,ENSG00000221400
6256,AL353664.1,ENSG00000221402
6257,hsa-mir-1287,ENSG00000221419
6258,AC068058.1,ENSG00000221437
6259,AL162502.1,ENSG00000221465
6260,U6atac,ENSG00000221468
6261,hsa-mir-548f-1,ENSG00000221594
6262,AL583860.1,ENSG00000221717
6263,AL713922.2,ENSG00000221757
6264,hsa-mir-1307,ENSG00000221767
6265,AC016821.1,ENSG00000221774
6266,RP11-137L10.6,ENSG00000221817
6267,C10orf55,ENSG00000222047
6268,U6,ENSG00000222051
6269,hsa-mir-1915,ENSG00000222071
6270,Y_RNA,ENSG00000222072
6271,U6,ENSG00000222092
6272,5S_rRNA,ENSG00000222100
6273,5S_rRNA,ENSG00000222108
6274,Y_RNA,ENSG00000222192
6275,AL359836.1,ENSG00000222197
6276,AL157392.3,ENSG00000222235
6277,U2,ENSG00000222238
6278,Y_RNA,ENSG00000222305
6279,AL391839.3,ENSG00000222309
6280,U6,ENSG00000222314
6281,7SK,ENSG00000222371
6282,AC022021.2,ENSG00000222374
6283,5S_rRNA,ENSG00000222406
6284,Y_RNA,ENSG00000222412
6285,U2,ENSG00000222414
6286,Y_RNA,ENSG00000222430
6287,7SK,ENSG00000222436
6288,7SK,ENSG00000222451
6289,Y_RNA,ENSG00000222503
6290,7SK,ENSG00000222543
6291,SNORA19,ENSG00000222588
6292,U2,ENSG00000222629
6293,AL136452.1,ENSG00000222631
6294,U3,ENSG00000222666
6295,AC073588.1,ENSG00000222696
6296,7SK,ENSG00000222705
6297,5S_rRNA,ENSG00000222740
6298,U6,ENSG00000222909
6299,7SK,ENSG00000222979
6300,Y_RNA,ENSG00000222997
6301,5S_rRNA,ENSG00000223019
6302,SNORA57,ENSG00000223027
6303,U6,ENSG00000223047
6304,U6,ENSG00000223064
6305,AL138765.2,ENSG00000223079
6306,U2,ENSG00000223107
6307,SNORA74,ENSG00000223111
6308,5S_rRNA,ENSG00000223131
6309,U2,ENSG00000223156
6310,SNORA74,ENSG00000223182
6311,AC074323.1,ENSG00000223243
6312,U4,ENSG00000223279
6313,Y_RNA,ENSG00000223302
6314,RP11-655H13.2,ENSG00000223381
6315,RP11-399K21.5,ENSG00000223428
6316,RP11-62L18.3,ENSG00000223432
6317,RP11-781P14.3,ENSG00000223455
6318,RP11-285G1.9,ENSG00000223462
6319,RP11-490O24.2,ENSG00000223470
6320,RP11-314P12.2,ENSG00000223477
6321,RP11-322M19.1,ENSG00000223482
6322,RP11-96B5.3,ENSG00000223502
6323,RP11-223P11.3,ENSG00000223528
6324,RPS15AP5,ENSG00000223540
6325,RP11-344L13.1,ENSG00000223565
6326,RP11-393K12.2,ENSG00000223581
6327,RP11-108B14.3,ENSG00000223601
6328,RP11-272J7.1,ENSG00000223746
6329,RP11-57C13.4,ENSG00000223761
6330,RP11-554I8.2,ENSG00000223784
6331,RP11-598C10.2,ENSG00000223800
6332,RP11-428L9.2,ENSG00000223808
6333,NCRNA00223,ENSG00000223817
6334,CFLP1,ENSG00000223820
6335,RP11-472N13.2,ENSG00000223834
6336,RP11-462G8.2,ENSG00000223835
6337,RP11-448K10.1,ENSG00000223841
6338,AL355493.2,ENSG00000223846
6339,RPS27P1,ENSG00000223876
6340,AL450342.1,ENSG00000223900
6341,C10orf44,ENSG00000223910
6342,XX-2136C48.3,ENSG00000223913
6343,RP11-183E9.2,ENSG00000223928
6344,RP11-177H22.2,ENSG00000223984
6345,RP11-445P17.5,ENSG00000223987
6346,RP11-168P8.4,ENSG00000223992
6347,RP11-475D12.1,ENSG00000223993
6348,AL672187.3,ENSG00000224005
6349,RP11-383C5.4,ENSG00000224023
6350,RP11-445P17.8,ENSG00000224034
6351,CTSLL2,ENSG00000224036
6352,RP11-445N18.2,ENSG00000224068
6353,RP11-69D4.3,ENSG00000224115
6354,AL606469.2,ENSG00000224148
6355,UQCRHP3,ENSG00000224162
6356,RP11-442O18.2,ENSG00000224190
6357,RP11-574K11.5,ENSG00000224195
6358,RP11-371A19.2,ENSG00000224215
6359,RP11-262I2.2,ENSG00000224222
6360,RP11-78A18.2,ENSG00000224250
6361,RP11-499O7.7,ENSG00000224251
6362,RP11-168L22.2,ENSG00000224265
6363,RP11-631M21.1,ENSG00000224285
6364,IFIT6P,ENSG00000224289
6365,RP11-144G16.1,ENSG00000224301
6366,RP11-302K17.3,ENSG00000224302
6367,AL157831.1,ENSG00000224369
6368,RP11-34C15.1,ENSG00000224382
6369,OR6D1P,ENSG00000224402
6370,RP11-351O1.3,ENSG00000224412
6371,RP11-182L21.2,ENSG00000224428
6372,RP11-351M16.1,ENSG00000224439
6373,RP11-449I17.5,ENSG00000224473
6374,RP11-179H18.8,ENSG00000224489
6375,RP11-655H13.1,ENSG00000224498
6376,RP11-328K22.1,ENSG00000224500
6377,RP11-414H17.8,ENSG00000224502
6378,RP11-475D12.2,ENSG00000224504
6379,RP11-202P11.1,ENSG00000224596
6380,RP11-534G20.3,ENSG00000224597
6381,AL133216.5,ENSG00000224624
6382,RP11-100A13.1,ENSG00000224697
6383,RP11-179K3.2,ENSG00000224714
6384,C10orf37,ENSG00000224725
6385,RP11-380G5.2,ENSG00000224745
6386,RP11-94M14.2,ENSG00000224750
6387,RP13-137A17.5,ENSG00000224758
6388,C1DP3,ENSG00000224760
6389,RP11-508N22.8,ENSG00000224761
6390,RP5-933E2.1,ENSG00000224788
6391,RP11-18M11.2,ENSG00000224812
6392,RP11-190J1.3,ENSG00000224817
6393,RP11-236B18.4,ENSG00000224851
6394,RP11-119F19.4,ENSG00000224886
6395,RP11-451M19.2,ENSG00000224907
6396,RP11-322M19.2,ENSG00000224914
6397,RP11-108L7.7,ENSG00000224915
6398,RP11-144G6.4,ENSG00000224919
6399,RP11-175J10.1,ENSG00000224920
6400,RP11-441O15.3,ENSG00000224934
6401,RP11-443A13.4,ENSG00000224948
6402,AL355591.1,ENSG00000224998
6403,GS1-756B1.1,ENSG00000225053
6404,RP11-479O17.7,ENSG00000225100
6405,RP11-295P9.6,ENSG00000225112
6406,RP11-477L16.2,ENSG00000225118
6407,AL133216.3,ENSG00000225119
6408,RP11-56A21.4,ENSG00000225137
6409,RP11-809C18.3,ENSG00000225140
6410,RP11-338O1.2,ENSG00000225152
6411,RP11-36N22.3,ENSG00000225155
6412,RP11-162G10.4,ENSG00000225192
6413,RP11-107I14.2,ENSG00000225208
6414,RP11-197M22.2,ENSG00000225213
6415,RP11-730A19.2,ENSG00000225251
6416,RP11-117P22.2,ENSG00000225269
6417,RP11-175J10.2,ENSG00000225276
6418,RP11-57H14.3,ENSG00000225292
6419,RP11-344A5.1,ENSG00000225299
6420,RP11-539I5.1,ENSG00000225302
6421,RP11-512N4.2,ENSG00000225303
6422,RP11-400G3.3,ENSG00000225354
6423,RP13-331H15.1,ENSG00000225355
6424,SFTA1P,ENSG00000225383
6425,RP11-499O7.5,ENSG00000225418
6426,RP11-122F14.3,ENSG00000225423
6427,RP11-168C9.1,ENSG00000225424
6428,RP11-178D16.1,ENSG00000225430
6429,RP11-525A16.4,ENSG00000225461
6430,RP11-542E6.3,ENSG00000225482
6431,RP11-773D16.1,ENSG00000225484
6432,RP11-180I22.2,ENSG00000225497
6433,RP11-139J15.4,ENSG00000225509
6434,RP11-236B18.2,ENSG00000225519
6435,RP11-236B18.3,ENSG00000225525
6436,RP11-383B4.4,ENSG00000225527
6437,RP11-310E22.2,ENSG00000225533
6438,PABPC1P12,ENSG00000225638
6439,RP11-619F23.2,ENSG00000225652
6440,C10orf100,ENSG00000225738
6441,RP11-417O11.5,ENSG00000225761
6442,RP11-127O4.3,ENSG00000225768
6443,RP11-401F24.4,ENSG00000225778
6444,RP11-592B15.4,ENSG00000225784
6445,RP11-589B3.3,ENSG00000225827
6446,ERCC6,ENSG00000225830
6447,RP11-80H5.6,ENSG00000225836
6448,RP11-452K12.4,ENSG00000225850
6449,FRG2B,ENSG00000225899
6450,RP11-57C13.6,ENSG00000225913
6451,RP11-57G10.1,ENSG00000225922
6452,RP11-122F14.4,ENSG00000225928
6453,RP11-501J20.5,ENSG00000225936
6454,RP11-554I8.1,ENSG00000225948
6455,RP11-508N22.6,ENSG00000225965
6456,RP11-192N10.2,ENSG00000225976
6457,RP11-464C19.3,ENSG00000226005
6458,RP11-190J1.10,ENSG00000226009
6459,RP11-218D6.2,ENSG00000226016
6460,RP11-399K21.4,ENSG00000226039
6461,RP11-463P17.1,ENSG00000226044
6462,RP11-399K21.6,ENSG00000226051
6463,RP11-110H10.2,ENSG00000226083
6464,RP11-508N22.4,ENSG00000226086
6465,RP11-444I9.4,ENSG00000226095
6466,RP11-672F9.1,ENSG00000226113
6467,RP11-461K13.1,ENSG00000226140
6468,RP11-478K7.2,ENSG00000226159
6469,RP11-167P22.3,ENSG00000226163
6470,RP11-564C4.4,ENSG00000226168
6471,RP11-69D4.5,ENSG00000226198
6472,RP11-50E11.3,ENSG00000226200
6473,AL138764.1,ENSG00000226209
6474,ZNF32OS1,ENSG00000226245
6475,MRPL35P3,ENSG00000226253
6476,RP11-288D15.2,ENSG00000226255
6477,RP11-71J2.1,ENSG00000226296
6478,RP11-435M3.2,ENSG00000226304
6479,XX-2136C48.1,ENSG00000226311
6480,RP11-474D14.2,ENSG00000226318
6481,CTD-2173J9.4,ENSG00000226322
6482,RP11-186O14.5,ENSG00000226358
6483,RP11-119F19.2,ENSG00000226381
6484,RP11-51B10.2,ENSG00000226386
6485,RP11-483B5.3,ENSG00000226387
6486,RP11-507K13.4,ENSG00000226389
6487,RP11-218D6.3,ENSG00000226395
6488,RP11-490O24.1,ENSG00000226407
6489,RP11-476F14.1,ENSG00000226412
6490,RP11-348J12.2,ENSG00000226425
6491,RP11-174J11.1,ENSG00000226426
6492,RP11-106M7.4,ENSG00000226428
6493,RP11-416N2.3,ENSG00000226431
6494,RP11-393J16.4,ENSG00000226447
6495,RP11-93L14.1,ENSG00000226448
6496,RP11-417O11.6,ENSG00000226458
6497,RP11-102H24.1,ENSG00000226466
6498,RP11-524O24.2,ENSG00000226493
6499,RP11-561G1.2,ENSG00000226557
6500,RP11-512N4.3,ENSG00000226561
6501,RP11-523O18.1,ENSG00000226576
6502,RP11-258F22.1,ENSG00000226578
6503,RP11-411P18.2,ENSG00000226582
6504,SLC9A3P3,ENSG00000226631
6505,RP11-382K22.1,ENSG00000226646
6506,RP11-336A10.2,ENSG00000226647
6507,RP11-137H2.4,ENSG00000226659
6508,RP11-292F22.5,ENSG00000226667
6509,RP11-589B3.6,ENSG00000226676
6510,RP11-429G19.2,ENSG00000226688
6511,RP11-69C17.2,ENSG00000226694
6512,RP11-122K13.7,ENSG00000226699
6513,RP11-570G20.1,ENSG00000226701
6514,RP11-298K24.2,ENSG00000226705
6515,RP11-252O7.2,ENSG00000226734
6516,RP11-31L23.3,ENSG00000226740
6517,RP11-298E9.6,ENSG00000226762
6518,RP11-272J7.5,ENSG00000226790
6519,RP11-343J3.3,ENSG00000226794
6520,RP11-168P8.2,ENSG00000226808
6521,RP11-166N17.3,ENSG00000226842
6522,RP5-1119O21.2,ENSG00000226861
6523,RP11-500G22.2,ENSG00000226864
6524,XX-2136C48.7,ENSG00000226880
6525,RP11-561G1.3,ENSG00000226888
6526,RP11-298J20.3,ENSG00000226899
6527,RP11-432J24.5,ENSG00000226900
6528,RP11-443A13.5,ENSG00000226911
6529,RP11-285G1.8,ENSG00000226937
6530,RP11-575L16.2,ENSG00000226964
6531,RP11-543F8.2,ENSG00000226990
6532,RP11-168P8.3,ENSG00000227029
6533,RP11-34E5.4,ENSG00000227032
6534,RP11-4C20.4,ENSG00000227076
6535,RP11-295O23.4,ENSG00000227096
6536,RP11-433J20.2,ENSG00000227101
6537,RP11-319F12.2,ENSG00000227121
6538,RP11-107I14.1,ENSG00000227128
6539,C10orf101,ENSG00000227136
6540,RP11-159H3.2,ENSG00000227143
6541,RP11-323P17.1,ENSG00000227165
6542,MYL6P3,ENSG00000227173
6543,RP11-214D15.2,ENSG00000227175
6544,RP11-77G23.5,ENSG00000227186
6545,GLUDP7,ENSG00000227194
6546,RP11-315E23.1,ENSG00000227209
6547,RP11-322C8.2,ENSG00000227244
6548,RP11-166N17.1,ENSG00000227253
6549,RP11-453N3.3,ENSG00000227264
6550,AC063965.1,ENSG00000227268
6551,RP11-399K21.2,ENSG00000227271
6552,RP11-95I16.2,ENSG00000227307
6553,RP11-144G6.10,ENSG00000227310
6554,RP11-309N24.1,ENSG00000227313
6555,RP11-443A13.3,ENSG00000227323
6556,RP11-195B3.1,ENSG00000227338
6557,PARG,ENSG00000227345
6558,RP11-483F11.6,ENSG00000227351
6559,RP11-459F3.3,ENSG00000227356
6560,RP11-109A6.3,ENSG00000227374
6561,RP11-152N13.8,ENSG00000227382
6562,RP11-18M11.1,ENSG00000227395
6563,RP11-179H18.5,ENSG00000227437
6564,RP11-108B14.4,ENSG00000227462
6565,RP11-307B23.2,ENSG00000227465
6566,RP11-295P9.2,ENSG00000227474
6567,RP11-810B23.1,ENSG00000227475
6568,RP11-316M21.6,ENSG00000227492
6569,C1DP4,ENSG00000227515
6570,RP11-215C7.3,ENSG00000227537
6571,RP11-506B4.5,ENSG00000227539
6572,RP11-152N13.5,ENSG00000227540
6573,RP11-264C14.3,ENSG00000227546
6574,RP11-139K1.2,ENSG00000227560
6575,RP11-298E9.4,ENSG00000227575
6576,RP11-119F7.3,ENSG00000227583
6577,RP11-162A23.5,ENSG00000227586
6578,RP11-453N3.1,ENSG00000227679
6579,RP11-445N18.5,ENSG00000227683
6580,NCRNA00093,ENSG00000227695
6581,RP11-49L2.1,ENSG00000227734
6582,RP11-508M1.5,ENSG00000227781
6583,RP11-248J23.5,ENSG00000227805
6584,AL392086.1,ENSG00000227821
6585,RP11-271F18.2,ENSG00000227823
6586,RP11-381K7.1,ENSG00000227851
6587,RP11-59J5.1,ENSG00000227877
6588,RP11-77P6.2,ENSG00000227896
6589,RP11-380G5.4,ENSG00000227905
6590,RP11-69C17.3,ENSG00000227912
6591,RP11-710A11.2,ENSG00000227918
6592,RP13-16H11.2,ENSG00000227932
6593,RP11-305E6.1,ENSG00000227955
6594,RP11-346D6.5,ENSG00000227972
6595,RP11-397J18.1,ENSG00000227995
6596,AL158209.1,ENSG00000228017
6597,RP11-383C5.3,ENSG00000228021
6598,RP1-251M9.3,ENSG00000228027
6599,RP11-598C10.1,ENSG00000228048
6600,RP11-399L7.2,ENSG00000228055
6601,RP11-222A11.1,ENSG00000228065
6602,RP11-119F7.4,ENSG00000228088
6603,RP11-302K17.7,ENSG00000228091
6604,RP11-417C21.2,ENSG00000228092
6605,AC069542.2,ENSG00000228138
6606,PPIAP19,ENSG00000228169
6607,RP11-455B2.9,ENSG00000228181
6608,RP11-498B4.7,ENSG00000228195
6609,RP11-165O3.2,ENSG00000228219
6610,RP11-292F22.2,ENSG00000228233
6611,ARMS2,ENSG00000228258
6612,RP11-127L20.3,ENSG00000228261
6613,RP11-254K3.1,ENSG00000228270
6614,RP11-367B6.2,ENSG00000228280
6615,BX248123.1,ENSG00000228282
6616,RP11-445P17.6,ENSG00000228291
6617,RP11-186N15.3,ENSG00000228302
6618,RP11-455B2.3,ENSG00000228312
6619,RP11-109G10.2,ENSG00000228326
6620,RP11-730A19.5,ENSG00000228330
6621,RP11-337N19.1,ENSG00000228339
6622,RP11-184A2.2,ENSG00000228353
6623,RP11-563N6.6,ENSG00000228403
6624,RP11-549L6.3,ENSG00000228417
6625,CTSLL3,ENSG00000228418
6626,RP11-402L1.11,ENSG00000228426
6627,RP11-208C17.3,ENSG00000228460
6628,RP11-445N18.3,ENSG00000228462
6629,RP11-106M7.1,ENSG00000228484
6630,RP11-567J24.4,ENSG00000228485
6631,RP11-183E9.3,ENSG00000228508
6632,RP11-179B15.5,ENSG00000228527
6633,RP11-271M1.3,ENSG00000228547
6634,RP11-391J2.3,ENSG00000228553
6635,AL357372.1,ENSG00000228558
6636,RP11-170M17.1,ENSG00000228566
6637,FAM22E,ENSG00000228570
6638,RP5-1051H14.2,ENSG00000228636
6639,BX322613.2,ENSG00000228637
6640,RP11-556E13.1,ENSG00000228651
